entry,date,n_month,month,text
11,Thurs January 12,01/1912,January,Was going to do Birkhead and called up .. I thought it too cold in studio and was satisfied as I wanted to attend to Jack Telephoning all morn and getting him fixed..in pretty good place near but cold..Chumley Joness and nice interest in him. Richard inviting us to dine there.  We went and found five young men..Very jolly time and nice start for Jack.  Went in later to G's and introduced him..
12,Fri January 13,01/1912,January,Snowy and in house till aft when I went out and bought a bag and valise for my trip. Jack and I to meet the G's at Opera.  Siegfried. Morgan box. First time for J. So lovely to have him. He and I back alone and he came up and had cigarette. and anisette.  Very good times for me. A.P.A will spend Sunday with him.
13,Sat January 13,01/1912,January,Boston Had S Chas and did not do as much as I wished.  He is depressing now.  After he left got ready to go and Jack came in at 12.30 and went in taxi with me to ststion.  Lovely to have him  Saw me into train .. Fast train but very tiresome.. Drove right to B's and was welcomed.. In time for din and then quiet eve with them after teling to Sl to arrange about next day .. Very cold . but comfy in my room.
14,Sun January 14,01/1912,January,Sl and I called each other up and almost thought we could'nt go to G. Finally decided to and got off in cab at nine 15.  I stopped for him at Hotel and we took lots of lunch from there Some snow and great talk on way down in train.  A's speeches and the house that is going up alas in fron of R.R. Wonsons wagon oaiting and tho very cold did not fel much Harbor frozen over above Rocky Neck.  Lovely sunshine.  Deane waiting by gat. path swept and Garland by fron door. Everythi g looking exquisite.  Went up on ter ace with G and was not cold.  Fire in living room and sun coming in east window. Settled up all and Sl came in to lunch toasting sausage and drinking very good chocolate.  Then he went home and I waited for Deane to come back and walked in the lovely paths. untouched exce t by little rabbit tracks.  Perfect stillnes and silence.  H again and we walked and looked at the foundation of the NEW HOUSE wah..  Also sat on rocks behind his house and were not cold.  Only left because we had to.  To Patches for short call and home in four train. Wonderful day..Eve quietly with Blakes.
15,Mon January 15,01/1912,January,"Lovely day but cold .. soon rain and slush. Fooled about and wrote some .. At 12 30 Templeman and nice talk in B's library. He went with me to Elliots lunch. I was rather spent and did not do much there Langdon Warner Dr and Mary and L. Hooper. Lovely time with the two after others went. Walked back and met Herbert Brown nice to see. To rest and glorious nap. completely relaxed and so comfy on lounge in m room. Got dressed leisurely and looked pretty nice in new steel blue. Party of twelve, Judge and mrs J. Gray .. Holker Abbott by me and H Sleeper opp. Long talk with Judge G after Mrs Tyson very affectionate and determined I shall come back and see Mme Maeterlinvk in Pelleas. Thought I would for a moment. In morn called up Mrs W Amory and she will let me have the portrait for Corcoran. Good night."
16,Tues January 16,01/1912,January,Off to Jury at Doll and Richards. Quite an interesting lot of men. Chase Chairman. P Hale very amusing and not a chip thrower as I feared. About Two hundred pics. Pretty bad and discouraging. we let many in should not have. Got through at twelve. I had engagement with H Green and fiascoed it. Very ashamed of myself. and sorry. Went back to lunch with A B. and wealk in very cold. Got myself off in three train after a struggle in which the strong swedish maid broke D's bag strap. Sleeper came to see me off and I thought seemed a little ruffled .. but good to hav him. Long and very weary trip back .. and taxi home. Sup on train and saw no one. To bed. Slept very badly Not at all in fact Dear Jim slept here and coughed .. But I would have been awake anyway.
17,Wed January 17,01/1912,January,Terribly cold and Jim and I had to have talk before I got off to Jury. All the way to Budworths but I was not the last. Johannson sat next and Jonas Lie next . The others in rear and I could not see how they voted.   Five hundred  Pictures Mr Lewis there and very polite. I principally with Lydia E. Came home straight to lunch here .. Good rest .. sent tel to Mrs Tyson that I could not possibly go back to Boston to see the Maeterlinckor anything.   Found nice note from A.P.A written here . They came here for a while.good.  on Sunday. At eight to din Mrs Van's .Lovely party. The adorable Dunn but I did not sit by . A nice man named Welling.  and Durand . Beatrix Jones and a Miss Segur.  Great talk. also Dr Valentino by me. .. Could have stayed much later than I did. Wonderful Balk with Dunne after didn..
18,Thurs January 18,01/1912,January,"Up before day and off in eight to Phila. to the Jury meeting. 800 pictures and some impudently bad. About the same average but better than Bowton.  Was glad I did not recognize. Phil Hale sat by Lydia and me  Very amusing.  Many good tales  Tom Perry asked Monet 'If you paint the shadow of a green cabbage purple ,what color would you paint the shadow of a purple cabbage.' Monet ans . 'Look and see.'  When Remington went to Paris and was shown some of the crumply impressionists. he said 'Why I have an old aunt in New Bedford who can KNIT better pictures than those.'..  We had lunch at the Acad and Trask read a l ng letter from a daft champion of a crazy womans pictures. ..Mad me read poem by same. Much rambling aroun looking at the permanent pics with Chase and others. Jim came and young Haughton to see about Ins but I got off in time to take the three train Lydia there too. and we had good talk. .. Walked and trolleyed back and was pretty tired.  Found enormous mail  Lots of lette from the travellors.   Terence .. so adorable and sat by me while I ate my sup here .. Talk and telling all about his farm biz.."
19,Fri January 19,01/1912,January,Chas did not come and I was glad. Worked on it but dont know feel anxious. Also decided to go on with the Pomeroy same canvas. First work for a good while and felt quite like. Lunch here seeing Jack along . He has taken the room .. and goes to B today till Mon. Tel in morn from Cecil Austin and I answered with light and welcoming effect. I think.  Dimiotti of Salma gundi Club came to look  t E fro their Ex . Did not like blk frame but pleasant call . Brown young man. .. Expected Leila Mechlin and she came in time to have a talk about the C Ex befor e Cecil A.  The shawl costume is in Texas A terrible disappointment to me not to have it. Gave me some good counsel as to what to have.   C A came in midst and looked older than I even expected. But very distinguished Jolly and complimented me on my looks. New hair I suppose. and green coat. Great fun for an hour. Sorry to part. He is having a raving time. and likes it. Terence came right after JOY. We arranged at once to spend eve together. and he dined here and we went to D'Israeli. Wonderful time George Arliss. . Very happy day Glad I didnt go to Boston again.
20,Sat January 20,01/1912,January,Was not tired and slept well. Mrs P and got at it again. Felt good . May reading book A.P.A. gave me. Tel from Mrs Davison asking me to come there Sunday eve to sup A'P A' to be there. Also tel from Mrs Rumsey asking me for Thurs din. Also Terecnce about tonight. ..  Mrs Glenny is here now and off to Princeton for Sunday. Good rest and out to order more wood .  Tel from Helena Violet Oakley ther and wanting me to come She just taking up her big new work . Left by Abbey . Says he finished what he had begun and she starts fresh. In here for a while .. At six Terence with man friend and went for D. .. Al to Guffantis and found too full .. Next to Maxim's.... Ha.. But not gay at all bourgeois. .. Then to WinterGarden.. for Mrordkin.. Immense spectacle and dancing . He not till near end.. Extremely gay . D of cours had to to go to her place and was not with us..  Preposterous that I shoul have such a time  ........   Glorious companionship of Terence.
21,Sun January 21,01/1912,January,Lovely day I went out soon after break for walk.  No T all day. He dines with the G's.   Did lots of writing and went to 24 to lunch .. Much Theatre talk.   D there. ResB after and at four thirty Mrs Pomeroy.. Took her to call at the G's and had tea with H. Left in nick of time as I had no sooner got in when the great and lovely Dunn came . No one else and we had delightful too short talk.  We shall meet soon though I hope. Made me pretty lat for the Davison's Anna went up with me and we passed the cathedral a blaze of electric light and crowds . for the new Cardinal Farley.  I looked pretty well in new stel blue. Was taken up to the library and there were A.P.A and K .D.  So delicious to see him. again. H.P.D soon appeared more charming than ever.   Wanting me to cruise with them to Cuba etc. new yact.  Much politic talk of Roosevelt principally.  A.P.A. rather going that way. God late and they walked to car I had Anna of course.    Quite wonderful eve and A promised to come and pose for coat at 3.30 tomo row. after Roosevel lunch.
22,Mon January 22,01/1912,January,Mrs Pomeroy and I got on well with head.  May reading. Shareefa the book A'P'A' gave me. Idid nothing but rest except answe tels.   Jack in Plym Rest and getting ready for A who came at 3'rt but we had an hour. He bursting  about the lunch and T.R. A charioteer he said . He was pallid and wonderful and told of it all. He wat next to T R and talked for two hours about the Monetary I did as well as I coMld under the circumstances.. He was perfectly dear . about everything.   Nothing more but fatigue. Short walk with Anna in eve on tired feet. Duke and D of Connaught in town.
23,Tues January 23,01/1912,January,The Pres Lincold wired from 820 miles out . will be in Thur morning.  Letter awaits Ern. Here. Pomeroy and did dress. and neck .. no reading.  Much harder this way.  Lunch here and Jack wanting to come but I could not have him then . Had to rest . M Bush Brown insisting on seeing me and got ready to see her before getting off to Bradley musicale.  Note from Sl and tel later  He is in town now but very busy with his hosts.  Fran came in and we went down together in bus.  Lots of nice people. and dear Seldon Miller.  Piano and songs. Wonderful temperament and feeling . Adore his delicate intellectual rendering. Spoke with himafterwards...and we sat on platform and had a few wonderful words.  Mathews and Rev Percy Grant..Suddenly remembered I must rush for home .. Feared I had missed Ter or Sl or Jack . but only Jack had called up.  Lovly note yest from Wilkie inviting me for Sunday.  Din with Mrs. Glenny and writing all eve.
24,Wed January 23,01/1912,January,Pomeroy and had to do without reading .. working on dress et Tel from Sl and arranging for meeting this afternoon. Short rest and to Macbeth's where we met .. Then to see the Tar bells at Montross. . A little disappointed.. Rich in spots but giving way where he did not feel the purely painting quality. he does not feel that support IS painting as well as anything else.  Then to see Allen Tucker's things at Madison galoery. Very frewh and  seeming to mean more than when I saw them in hi studio last year. . To Kneodlers to see the loan ex of English old masters.  Some of the Fricks etc but many badly touched up and vulgarized.  All this time much talk of A and a delicious sense of compani nship and freedom.   He came back with me an Jack came in.. also D. Aunt Jennie called up to get Jack and after we had dined downstairs together here we went in and sat with her and Jeanette.  Fixing his room after with my bureau etc.  Too delightful to have him. 1912
25,Thurs January 25,01/1912,January,No idea today but the arrival of the D's. Called up and found when boat got in and wanted to ask to go with Arthur L but thought best not. Got Ros and we went off . Way over to Hoboken by H Tunnel. Waited and hour and half in cold place trying to get in to the dock. Did not know we must have ticke Finally Tom appeared magnificent and literally bore us in. We met them all cloming along . Too delighted to see us. Ern looking superb and A L on hand with the queer sad look behind his eyes. She careless as ever.  Arthur Ludington Etta stayed with Pater to look after the things and the girl and Ros and A.L. came her to lunch . Great telling for E from Phil and she had to go in the five train. Etta and Harry to Tom's and E after to the G's to din as I was for Rumseys. In there at eight in steel blue. Wonderful time sat at D.R.'s right and had fine talk. Dutch man I met there before with unpronouncible name at other sid . So intefested in Teddy talk that he followed me in to the drawing room when th men went up stairs. Mrs Mason Davidge and art talk with. Men came down and was having good talk on religion . C and P. with D.R. and a Scotchman when had to go. Found dear Etta  asleep and did not wake her up.
26,Fri January 26,01/1912,January,"Great excitement of course in the morn , talking of fam things E and I break together. Mrs P and Mr and he saw the portrait and approves. Etta stayed and sat withbus all the morn and tol of lots of small interesting things of travel..  Splendid  as she never would have done it if we had been alone. She went off to lunch with the J's .. zand did not come back ..  No sign of Terence.. Urgent invite from Mrs Reynolds in morn to dine there and did not want much but finally succumbed.  Desperate rush to keep m engagement with Miss Davison to hear B. Herford and got there late Mrs Herter other guest. snow but stopped on way down to buy tickets for Sumurun for night with Sl. Had hardly got in when John Wilkie. and was just enjoying when Sl came in rush and full of plans J.W. did not like much. Nice talk when Sl went .. .. Horrid bor getting of to Reynolds and long expensive trip . No good. Dull dinner all wrong but she is a dear."
27,Sat January 27,01/1912,January,Mrs Pomeroy and we did pretty well wit out reading tho May came in late and did some of the Shareefa.  I did hands. and was glad to leave it in the state I did.  She will come again in about a week. Susan B had got tickets for The Woman and I hurried off to that vowing that I would never again go to a matinee after painting ..but it was very srong. Washington politicians. Was going to rest when I got home but Do came in and sat an hour till Terence came . Poor dear .. How different from the time when she could not understand the woman part of life. She does now well enough. I had no rest but washing my face T came lovely as ever . and full of his weeks work. We went to Guffantis and had a fine evening first there and then to the Wintergarden just to see the Mordkins but stayed pretty well through. Twelve when he left after coming up to smoke.. Stirring times these and I shall be let down when they all go. Jack in Wash over Sunday.
28,Sun January 28,01/1912,January,Wonderful day .. I slept late and was not dressee  when Templeman Coolidge called up wanting me to spend the morn at the Met Mus wity him .. Had arrged to go to Trinity with T. and had to give T C the only moment  had for writing before He came and as T was late there was more than half an hour. I fixed to have hi go to the Havemeyers this aft. T came and we took the underground down to Wall st and I went in to the fine old church in the first time for many years. Wis I could get more from it but the singing was lovely and was good to be sitting there with T. He went to the G's and I after fixing a little to Johnsons . The Ludingtons came in and wanted me there for lunch So nice. also Greenoughs but I did not see. Lunch for Agnes Repplier at Johnsone . I sat next to Stokoff sky and great fun . Really got him several times though he is v clever. S1 came for me there and I had to go early. To Havemeyers and found musicale going on and T.C. there Many others Jaccacci.. The Markoes and Mrs Sears and Helen This I did not enjoy  .It was nice to show S1 the things. T. C came home with me . and I tried to get some rest but there was little time. Little I guessed what a supplice was in store for me as I had looked forward to goign to John Wilkie's house.  Dress in sreel blue and went in cab. Found party of six. The lame sisterin law in wheeled chair. looking very intelligent and brave and in some ways good looking even though she is a real cripple.  Two dear little boys were running about..and M Audriffex and another Frenchma an artist. Also a beautiful girl. ALL these people spoke from French fluently and all the time. It was very gay. but I was abased as I never have been before by and such thing. I have forgotten all I ever knew. Later Mr Welling came in and his french was about like mine. It was Horrible. J.W came home with me in cab and I dont really know how much he now thinks of me or my charm. To be ignorant and stumbling is a great distroyer of predilection. WoW
29,Mon January 29,01/1912,January,"Slept late and and Sl called up early to insist on my going with him to lunch at the Thomas house with Mr T. to day. I did a lot of things and was ready for him at I'3o.  Extraordinary place and person. A young man tall and charming. with fine dark eyes and the whole thing a gothic dream. We had lunch at end of long table. and he showed us everythi all over the house including the wine cellar where hams were hanging. .. and his great green tiled bath. Was determined that Sl and I should dine there on tues instea of Sl with me. so we arranged it. I left soon and came home to rest and had a fine one.  Jack came and was reconciled . Harry had changed the tickets for Sumurum where he and I were going and we three dined downstairs and went off in taxi very jolly. Did not care VERY much for it, Gestures only are continuously interesting. though the oriental color and mucic were pretty good. Taxi again .. and Jack came up and smoked."
30,Tues January 30,01/1912,January,"Worked on Mr Clement and got three pics off to Wash .. Quite a relief.and clearance. A good deal of writing and fussing to do about many things. These are stirring times I am dizzy.  Went in to 24 for the first time in many days and was greeted as the 'debutante'. Had much to tell. Got my self off but was late going in to the 'little milionaires'. Found it looking exquisite and the others there. Prince Pierre TroubetsKoy.. the painter ..husband of Amelie Rives.. Mr A Talbot Jones very dainty friend of Sl a young Russian and the  french artist Hoffbauer I met at the Wilkie fiasco. a Miss Courtney very proper and mild to make it convenable. I suppose but she seemed to be an ahabitue. A Mrs Williams came after the chaperone I suppose. I sat between Prince T and Sl. Delightful talk about my Fathere chiefly and religion that is Piety ', This was all charming but we went on after to a Mrs Guiness' rather doubtful.. I think The slave girl from Sumurun a very modest German girl was ther and Mme Simone.  Many much dressCd and not very alluring people. Fine old house on N Wash Sq. Home very late and said goodbye to Sl."
31,Wed January 31,01/1912,January,Up late and the morning short. What a queer life for me but not bad for once and a while. Much telephoning. and actuall went out and bought a new suit and other necessaries without much trouble. Whole morning for this of course and afternoon chiefly given to rewt. Jack called up but I did no get up. Went quite gladly in at sevn 45 to Mrs Guerin's to din. Such a sympatetic place to go. John Wilkie there.. and very ga and Rosamond and a n indescribable woman and a rather nice man named Boyden. Piano and R and I DANCED.. Nice talk with John W and he walked home with me.. Very charming person.
32,Thurs February 1,02/1912,February,Went out to look for suit and found one pretty good at Gimbel Dark blue and white stripe. Very straight and stylish. Late getting home and short rest. To the Reception at K.L.Wol club. in cab and some trouble dressing. Forgot to say that on Monday the jury met. I one on the things there Very tiresome and pretty futile. After prostrations of gratitude to me for le lending two drawing s and Ernesta. I found the drawings skyed 1 in a corner and E looking horrible in gaudy light on red velvet. Never again. Miss Livingston brought me home in auto and I w went in for a moment to G's.. Back to dress and get off for F. Markoes dinner. The Archer Huntingtons. Ex Mayor Mc Clellan and Mrs and Prof Pupine. Between him and A H. much absorbed by Fanny who is really clever. but I don't like mixing with the old lot. ..
33,Fri February 2,02/1912,February,Very hard to get up early after all these mad days.. but had to. Off to Phila in 8 train. Met by Mr. Lewis very polite. and the carriage. Then to Acad and the whole day over the prizes. Nothing went my way and it was only a question of whose turn it was. The ex is fine.. The best ever and I was not ashamed of Dr Howell and Mrs Mer iman. We had lunch in the Gibson room. Directors too and Mr Ely the I between Tarbell and Chase. Did not get away until 5.30 and Lydia and I wnet right to 1914 Spruce. Nice room and some rest. Then the din a long table ful of men.. I between C Newbold and and Mr Ely. Very nice but footsore before the eve was over.
34,Sat February 3,02/1912,February,Pretty comfy night when I got settled. and good bath Up pretty early and break in room . Off at nine without seeing anyone. To Acad and varnished Dr Howell leaving himlooking pretty well. and quite proud of Mrs Merriman. Mr Chase spoke of it to me but dont think the others cared much for it. In Anne carriage down to Arts and Crafts to complain of lette ing on coffee spoons .. Saw some very good jewelry by a young girl and ordered a pin. Back to do some telephining to people about ex . and got off in twelve no one train Lydia staying on. Called up Harry and had nice talk but did not see. Horrid trip back parlor car attached to engine . An imposit ion .. and felt almost sick the rest of the day. Very glad to get back Much mail including a note from A.P.A saying Mrs Huntinton Wilson wants to give a lunch for me in Washington.  Jack came in and I had not much time to  rest Off to din ar Beatrix Jones . Very jolly little din. The M'Keevors . Matthews Mr Welling and young Keppel .. M Miss Mahon . Mr Welling brought me home. in taxi mine did not come.
35,Sun February 4,02/1912,February,Slept pretty late and very glad I had no engagements. except Jack to sit for A.P.A's coat . This a very strenuous morning aftervall.   Jack and I lunch downstairs. an after right out .. Terribly cold and were going to walk but decided t to get in bus and go to the Cathedral .. Wonderful and sat ti four waiting . Then processi_nal and service. Not back till five thirty and I to G's . No I as going inbut didnt. Jack at din and after were beginning to have wonderful time by fire reading MY Verses when F and R came in  and we danced  . After they left Jack and I till late . wonderful talk. and precious hour.
36,Mon February 5,02/1912,February,Up earlier than I wanted to be ready for Mrs P. who came and I was glad to begin again not much moved by all I had sen meanwhile. May came and read. more on The Shareefa. I got on pretty well hair and forehead. Note from QA .P.A abou dates for din here and got a note off a atvonce to Ethel Roosevelt. Not much rest in aft as  had to go to Gimbels for suit fitting  Stood hour and half . Back very tired but went in to G's. Saw Ros and D. Jack came and we had a little chat .
37,Tues February 6,02/1912,February,Up pretty well and ready for Mrs P. Very hard work on eye. and no reading. She brought me a marvellous tropical lily. Tel from Ethel R. that she will be delighted to come and I sent let a once to A'P'A. Good rest and out in aft to shop for candle sticks and bought corner cupboard and frame for A.P.A at GFreunds. No sign of Jack till eve He had been with his brother. Tel from A P.A wyen I got in EOWN I should have telegraphed. Two tels sent and another letter. Tel to Dunn asking himand awfully nice. Will come als Thomas will come in eve. Very worried. Jack came and I overflowed to him. Rosamond teling to him to go out wit her but he was tired and preferred to stay with me.
38,Wed February 7,02/1912,February,Right on with face and getting down. Fussy .. Hope to get it out of this. Lots of newspaper notices from H Thouron I amd hardly mentioned and the articles are rotten leaving out almosrt mention of some of the best things. Davies hardly a word. Many replies to my requesta for pics and Mrs Perkins will let Dorotyhy go. Also Mrs Bennett. Out to Mrs Ditsons and found sort of musicale going on and some interesting young players. Then to see Miss Irwin at the Schuylers. Many fine people. Mrs P Morgan chatting with Mrs Davidge and Miss Mason. Mrs Sturgis and Mrs Schuyler Warren. Mr M'c Kim came in hjust as I was leaving. They have invited me to go with them to Orfea on Sat. Morgans box. Back and soon Jack came in We had din downstairs with the Glenny's and up here after. I got into comfy things and he lay on floor beside and I read till late. Firs The ballad of Reading Jaol..and the Chuchulain.. He was delightted .. What precious hours. It is life to do such things. So much more than any thing but work. pencil who is Jack
39,Thurs February 8,02/1912,February,Still work on head and improving but dont like canvas. Drawing all the time.. Had not courage to go to Greenoughs. It is no use my trying to things in aft when I have been painting.
40,Fri February 9,02/1912,February,Gave Mrs P a day off and did a good deal of shopping for party next Tues. Found exqu site corner cupboard at Freunds Just what I wanted French I think ..Altogether glorious day fo cupboard came and we had fine time looking at it and enjoying it .. Got on finely with head feeling well .. May reading. Mr P here but not coming to see till tomor ow. Felt splendid and very unusual and happy morning. May reading Katharine of Russia. In aft arranged glass and china in new cabinet a joy. Din with Jack and the Glenny's
41,Sat February 10,02/1912,February,Mr P came and was much pleased .. Brought me a wonderful orchid.. Good morning getting ready to stop. They go to California until end of April when I have another go at it. Did not mind stoppoing. Early lunch and off to Met Op to see Orfeo in the Morgan's box with the Schuylers and Miss Irwin. Joanna there and B Jone came in and others. Homer a wonder in the Part so beautiful Miracle that she should just have had twins. Was going to G's but didnt. Jack in eve.
42,Sun February 11,02/1912,February,Quiet Sunday and very glad to have it so. Went ou for short run and wrote. Rest after ..Eve to G's and Jack later reading.
43,Mon February 12,02/1912,February,Had Chas but though I changed a good deal not much good .. He very nice about it and very helpful in advice ab out the party. Told me of Italian grocer where the kind of things I want can be got. Wine and things for hors d'euvres. Went out after and did more shoping. This is hardwork I shall not do it often. Had interview with the cook downstairs for the chicken which is to be fried. Fried applies and baked potatoe in new dish from the Sing Fat Co. Pineapple salad made by me .. Ordering dessert and rolls at Purssells . a kind of charlotte .. Spent evening making a centre piece for the table out of green brocade. priest's robe. and oval and will look very well but I hate sewing. Alma finished it next day. Very weary.
44,Sat March 9,02/1912,February,Up betimes to get ready for Mrs K. came at ten. I liked her even better. Hope this will be a peaceful andblive thing Tried sofa and like it very much Will be completely made up color scheme without readymade point of departure .. We kept on till twelve trying many things and the pose and lighting are settled. She will look for another dress and then I will decide sofa cover and background. Long rest and out to order stretcher and look at stuffs for sofa.  Went it to see Mrs Robinson after and that arch hypocrit and criminal Mrs W Ames was there. . Very sweet voiced and pleasing as I had heard. I got away as soon as I could and did not spare her . Hope she saw it. Was reading when Wilkie came and was having nice talk when Jack came in . W not much pleased I think. Very gay time .. Very teasy .. and I dont know how to convince him of the truth . Hints dont seem to take.  He thinks me young. Shall I have to tell him that I watched Lincoln's funeral. Went in to the G's to din and sat long with Helena. who looked wonderful i her bed . head draped in white . She is better but does not get well fast enough. Jack came in and Joan and the girls played with the vi_lin and Pianao.. Fran had GoT HEAD tremendously and really expresses herself now. Abbott Thayer called me up in aft . Strange man and charming. Wish I could throw myself into his concealing coloration efforts.. There is no time now. O how I hate to go to Phil Except to see my beloved.H. and C. Jack and I read when we got in. but were both very sleepy. Galsworthy is here now and I suppose I shall not see him.. and Bergson is coming . That I shall not have either. I wish this wols were smaller . How absurd it is that we who are in the same class should not meet .   II cannot try for it.
